Provider,Category,Topic/Course,CPD Hours,Learning_Type,Learning_Outcomes,Course_Title,Subject_Area,CPD_Hours_Numeric,Delivery_Format,Target_Audience
AccountingCPD.net,Artificial Intelligence & Technology,AI Integration in Finance Teams,4,Course,Successfully integrating AI into finance functions,AI Integration in Finance Teams,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,AI for Accountants,4,Course,AI applications in accounting and strategic implementation,AI for Accountants,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Career Progression Pathway: Artificial Intelligence,21,Pathway,Comprehensive AI skills development for accountants,Career Progression Pathway: Artificial Intelligence,Artificial Intelligence & Technology,21.0,Career Progression Pathway,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Collective Intelligence in Accountancy,4,Course,Collaborative approaches to modern accounting challenges,Collective Intelligence in Accountancy,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Data Analytics and Visualization,4,Course,Financial data analysis and presentation techniques,Data Analytics and Visualization,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Excel Advanced Techniques,4,Course,Advanced Excel functionality and automation,Excel Advanced Techniques,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Power BI for Finance Professionals,4,Course,Business intelligence and dashboard creation,Power BI for Finance Professionals,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Artificial Intelligence & Technology,Technology for Modern Finance Functions,4,Course,Technology adoption and digital transformation,Technology for Modern Finance Functions,Artificial Intelligence & Technology,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,2024-25 Update: Auditing,4,Course,Annual auditing updates and new standards,2024-25 Update: Auditing,Audit & Assurance,4.0,Standard Course,All Levels - Update
AccountingCPD.net,Audit & Assurance,Auditing: Forming an Opinion,4,Course,Audit opinion formation and decision-making processes,Auditing: Forming an Opinion,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Auditing: Relationship Management,4,Course,Managing client relationships in audit engagements,Auditing: Relationship Management,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Internal Auditing: A Risk-Based Approach,4,Course,Modern risk-based internal audit methodology,Internal Auditing: A Risk-Based Approach,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,International Audit,4,Course,International auditing standards and practices,International Audit,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Professional Scepticism,4,Course,Developing and applying professional skepticism in audits,Professional Scepticism,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Quality Management,4,Course,Audit quality management systems and controls,Quality Management,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Risk and Materiality,4,Course,Risk assessment and materiality in audit planning,Risk and Materiality,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,Sustainability Reporting and Assurance,4,Course,ESG assurance and sustainability audit procedures,Sustainability Reporting and Assurance,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Audit & Assurance,The Audit Process,4,Course,Comprehensive audit process and regulatory standards,The Audit Process,Audit & Assurance,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Big Data in Finance,4,Course,Managing and analyzing large financial datasets,Big Data in Finance,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Business Intelligence Tools,4,Course,BI software applications for finance professionals,Business Intelligence Tools,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Career Progression Pathway: Finance Data Analysis,21,Pathway,Comprehensive data analysis skills for finance professionals,Career Progression Pathway: Finance Data Analysis,Data Analysis & Reporting,21.0,Career Progression Pathway,All Levels
AccountingCPD.net,Data Analysis & Reporting,Data Visualization Techniques,4,Course,Creating compelling data visualizations and infographics,Data Visualization Techniques,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Financial Dashboard Creation,4,Course,Building effective financial dashboards and KPIs,Financial Dashboard Creation,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Predictive Analytics in Finance,4,Course,Forecasting and predictive modeling techniques,Predictive Analytics in Finance,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Statistical Analysis for Finance,4,Course,Statistical methods and applications in finance,Statistical Analysis for Finance,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,Data Analysis & Reporting,Using and Communicating with Data,4,Course,Data analysis and effective data communication,Using and Communicating with Data,Data Analysis & Reporting,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,Carbon Accounting,4,Course,Greenhouse gas accounting and carbon footprint calculation,Carbon Accounting,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,Climate Risk Assessment and Reporting,4,Course,Climate-related financial risk assessment and disclosure,Climate Risk Assessment and Reporting,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,ESG Data Collection and Verification,4,Course,ESG data management and assurance procedures,ESG Data Collection and Verification,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,ESG for Accountants,4,Course,"Environmental, social, and governance reporting for accountants",ESG for Accountants,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,Integrated Reporting,4,Course,Integrated reporting framework and implementation,Integrated Reporting,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,Social Impact Measurement,4,Course,Measuring and reporting social and community impact,Social Impact Measurement,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,ESG & Sustainability,Sustainability Reporting Frameworks,4,Course,"GRI, SASB, TCFD and other sustainability standards",Sustainability Reporting Frameworks,ESG & Sustainability,4.0,Standard Course,All Levels
AccountingCPD.net,Ethics & Professionalism,2024-25 Update: Ethics,4,Course,Annual ethics updates and professional requirements,2024-25 Update: Ethics,Ethics & Professionalism,4.0,Standard Course,All Levels - Update
AccountingCPD.net,Ethics & Professionalism,AI and Ethics,4,Course,Ethical considerations in AI implementation and use,AI and Ethics,Ethics & Professionalism,4.0,Standard Course,All Levels
AccountingCPD.net,Ethics & Professionalism,"Corporate Ethics, Governance and Sustainability",4,Course,Corporate governance and ethical frameworks,"Corporate Ethics, Governance and Sustainability",Ethics & Professionalism,4.0,Standard Course,All Levels
AccountingCPD.net,Ethics & Professionalism,Ethics in Action: What Would You Do?,4,Course,Case studies and ethical dilemma scenarios,Ethics in Action: What Would You Do?,Ethics & Professionalism,4.0,Standard Course,All Levels
AccountingCPD.net,Ethics & Professionalism,Ethics in the Workplace,4,Course,Workplace ethics and professional behavior,Ethics in the Workplace,Ethics & Professionalism,4.0,Standard Course,All Levels
AccountingCPD.net,Ethics & Professionalism,Ethics: Dilemmas and Threats,1,Free Course,Identifying and responding to ethical threats,Ethics: Dilemmas and Threats,Ethics & Professionalism,1.0,Free Course,All Levels
AccountingCPD.net,Ethics & Professionalism,Practice Update: Ethical Issues for Accountants,4,Course,Current ethical challenges in accounting practice,Practice Update: Ethical Issues for Accountants,Ethics & Professionalism,4.0,Standard Course,All Levels - Update
AccountingCPD.net,Ethics & Professionalism,Using AI in an Ethical Way,1,Free Course,Responsible AI implementation in accounting,Using AI in an Ethical Way,Ethics & Professionalism,1.0,Free Course,All Levels
AccountingCPD.net,Financial Management & Business Skills,Business Valuation Techniques,4,Course,Company and asset valuation methodologies,Business Valuation Techniques,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Cash Management,4,Course,Cash flow management and optimization strategies,Cash Management,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Corporate Treasury KPIs,4,Course,Treasury performance measurement and management,Corporate Treasury KPIs,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Credit Management,4,Course,Credit risk assessment and debt collection procedures,Credit Management,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Economic Principles for Business Decision Making,4,Course,Economic concepts for strategic business decisions,Economic Principles for Business Decision Making,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Financial Modeling and Forecasting,4,Course,Building robust financial models for planning,Financial Modeling and Forecasting,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Financing Opportunities for SMEs,4,Course,Small business financing options and strategies,Financing Opportunities for SMEs,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Foreign Exchange,4,Course,FX risk management and hedging strategies,Foreign Exchange,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Insolvency for Accountants,4,Course,Business failure signs and insolvency procedures,Insolvency for Accountants,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Outsourcing,4,Course,Financial function outsourcing considerations,Outsourcing,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Management & Business Skills,Strategic Financial Management,4,Course,Strategic financial planning and decision making,Strategic Financial Management,Financial Management & Business Skills,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Financial Reporting & Accounting Standards,2024-25 Update: Excel,4,Course,Latest Excel features and functionality,2024-25 Update: Excel,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels - Update
AccountingCPD.net,Financial Reporting & Accounting Standards,2024-25 Update: IFRS,4,Course,Annual updates on IFRS developments and new standards,2024-25 Update: IFRS,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels - Update
AccountingCPD.net,Financial Reporting & Accounting Standards,2024-25 Update: UK and Ireland GAAP,4,Course,Latest developments in UK and Ireland GAAP,2024-25 Update: UK and Ireland GAAP,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels - Update
AccountingCPD.net,Financial Reporting & Accounting Standards,Accounting for Academies,1,Update,Academy financial reporting requirements,Accounting for Academies,Financial Reporting & Accounting Standards,1.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,Accounting for Agriculture,1,Update,Agricultural sector accounting requirements,Accounting for Agriculture,Financial Reporting & Accounting Standards,1.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,Accounting for Charities,4,Course,Charity SORP and specialized charity accounting,Accounting for Charities,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,Building and Operating Spreadsheets for Business,4,Course,Practical business modeling in Excel,Building and Operating Spreadsheets for Business,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,Excel Productivity Booster,4,Course,Advanced Excel techniques and automation,Excel Productivity Booster,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,Fast and Effective Monthly Reporting,4,Course,Streamlining monthly financial reporting processes,Fast and Effective Monthly Reporting,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,Group Accounting,4,Course,Consolidation and group accounting principles,Group Accounting,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,IFRS 18: Presentation and Disclosures in Financial Statements,4,Course,New IFRS 18 standard implementation and requirements,IFRS 18: Presentation and Disclosures in Financial Statements,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,IFRS 19,4,Course,New IFRS standard coverage,IFRS 19,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,"IFRS: Property, Plant and Equipment",4,Course,"IAS 16 Property, Plant and Equipment detailed coverage","IFRS: Property, Plant and Equipment",Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,IFRS: The Structure of Financial Statements,4,Course,Understanding IFRS financial statement presentation,IFRS: The Structure of Financial Statements,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,Reporting on an Uncertain Future,4,Course,Financial reporting in volatile business environments,Reporting on an Uncertain Future,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,SRA Accounts Rules,1,Update,Solicitors' Regulation Authority accounts rules,SRA Accounts Rules,Financial Reporting & Accounting Standards,1.0,Standard Course,All Levels
AccountingCPD.net,Financial Reporting & Accounting Standards,UK and Ireland GAAP: Key Issues,4,Course,Core UK and Ireland GAAP accounting requirements,UK and Ireland GAAP: Key Issues,Financial Reporting & Accounting Standards,4.0,Standard Course,All Levels
AccountingCPD.net,International & Cross-Border,Cross-Border Tax Planning,4,Course,International tax structuring and compliance,Cross-Border Tax Planning,International & Cross-Border,4.0,Standard Course,All Levels
AccountingCPD.net,International & Cross-Border,Currency Risk Management,4,Course,Foreign exchange risk identification and hedging,Currency Risk Management,International & Cross-Border,4.0,Standard Course,All Levels
AccountingCPD.net,International & Cross-Border,Global Mobility and Taxation,4,Course,Expatriate taxation and international assignments,Global Mobility and Taxation,International & Cross-Border,4.0,Standard Course,All Levels
AccountingCPD.net,International & Cross-Border,International Financial Reporting,4,Course,Multi-jurisdictional reporting requirements,International Financial Reporting,International & Cross-Border,4.0,Standard Course,All Levels
AccountingCPD.net,International & Cross-Border,Trade Finance and Documentation,4,Course,International trade finance instruments and procedures,Trade Finance and Documentation,International & Cross-Border,4.0,Standard Course,All Levels
AccountingCPD.net,International & Cross-Border,Transfer Pricing Fundamentals,4,Course,International transfer pricing rules and documentation,Transfer Pricing Fundamentals,International & Cross-Border,4.0,Standard Course,All Levels
AccountingCPD.net,Leadership & Management,2024-25 Update: CFO Issues,4,Course,Current challenges and trends for CFOs,2024-25 Update: CFO Issues,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,Career Progression Pathway: Chief Financial Officer,21,Pathway,CFO skills and competencies development,Career Progression Pathway: Chief Financial Officer,Leadership & Management,21.0,Career Progression Pathway,Senior/Leadership
AccountingCPD.net,Leadership & Management,Career Progression Pathway: Finance Leader,21,Pathway,Comprehensive finance leadership development,Career Progression Pathway: Finance Leader,Leadership & Management,21.0,Career Progression Pathway,Senior/Leadership
AccountingCPD.net,Leadership & Management,Developing CFO Behaviours,4,Course,Executive presence and CFO competencies,Developing CFO Behaviours,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,Emotional Intelligence for Finance Professionals,4,Course,EQ development for leadership effectiveness,Emotional Intelligence for Finance Professionals,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,Managing People in Finance,4,Course,People management skills for finance professionals,Managing People in Finance,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,Professional Credibility,4,Course,Building and maintaining professional reputation,Professional Credibility,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,Recruitment and Selection,4,Course,Hiring and selection processes for finance teams,Recruitment and Selection,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,The Accountant as a Non-Executive Director,4,Course,Board responsibilities and non-executive roles,The Accountant as a Non-Executive Director,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,The Resilient Finance Professional,4,Course,Building resilience and managing stress in finance roles,The Resilient Finance Professional,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,The Trusted Business Advisor,4,Course,Building advisory relationships with clients and stakeholders,The Trusted Business Advisor,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Leadership & Management,Voices in Accountancy: Leaders in the Profession,4,Course,Insights from accounting profession leaders,Voices in Accountancy: Leaders in the Profession,Leadership & Management,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Professional Skills & Communication,Career Development Planning,4,Course,Strategic career planning and progression,Career Development Planning,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Career Progression Pathway: Expert Communicator,21,Pathway,Comprehensive communication skills development,Career Progression Pathway: Expert Communicator,Professional Skills & Communication,21.0,Career Progression Pathway,All Levels
AccountingCPD.net,Professional Skills & Communication,Careers in Accounting and Finance,4,Course,Career paths and opportunities in finance,Careers in Accounting and Finance,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Communication for Professional Success,4,Course,Effective communication strategies and techniques,Communication for Professional Success,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Diversity and Inclusion in the Workplace,4,Course,Creating inclusive and diverse work environments,Diversity and Inclusion in the Workplace,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Hybrid Working,4,Course,Managing remote and hybrid work arrangements,Hybrid Working,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Managing Conflict,4,Course,Conflict resolution and difficult conversation management,Managing Conflict,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Mental Health and Wellbeing,4,Course,Workplace mental health awareness and support,Mental Health and Wellbeing,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Negotiation Skills,4,Course,Negotiation strategies and conflict resolution,Negotiation Skills,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Networking: Building Relationships with Purpose,4,Course,Strategic networking and relationship building,Networking: Building Relationships with Purpose,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Presentation Skills,4,Course,Professional presentation delivery and design,Presentation Skills,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Time Management and Productivity,4,Course,Personal productivity and time management systems,Time Management and Productivity,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Professional Skills & Communication,Writing Skills for Finance Professionals,4,Course,Professional writing and report preparation,Writing Skills for Finance Professionals,Professional Skills & Communication,4.0,Standard Course,All Levels
AccountingCPD.net,Risk Management & Compliance,Crisis Management and Business Continuity,4,Course,Crisis response and business continuity planning,Crisis Management and Business Continuity,Risk Management & Compliance,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Risk Management & Compliance,Cybersecurity for Finance Professionals,4,Course,Cybersecurity risks and controls in finance,Cybersecurity for Finance Professionals,Risk Management & Compliance,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Risk Management & Compliance,Due Diligence Procedures,4,Course,Due diligence processes for M&A and investments,Due Diligence Procedures,Risk Management & Compliance,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Risk Management & Compliance,Forensic Accounting,4,Course,Fraud detection and forensic investigation techniques,Forensic Accounting,Risk Management & Compliance,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Risk Management & Compliance,Internal Controls and Fraud Prevention,4,Course,Designing and implementing internal control systems,Internal Controls and Fraud Prevention,Risk Management & Compliance,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Risk Management & Compliance,Preventing Financial Crime,4,Course,Anti-money laundering and financial crime prevention,Preventing Financial Crime,Risk Management & Compliance,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Risk Management & Compliance,Regulatory Compliance Management,4,Course,Managing regulatory compliance across finance functions,Regulatory Compliance Management,Risk Management & Compliance,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Risk Management & Compliance,Risk Management Fundamentals,4,Course,Enterprise risk management principles and frameworks,Risk Management Fundamentals,Risk Management & Compliance,4.0,Standard Course,Senior/Leadership
AccountingCPD.net,Sector-Specific Courses,Construction Industry Accounting,4,Course,Construction sector accounting and project costing,Construction Industry Accounting,Sector-Specific Courses,4.0,Standard Course,All Levels
AccountingCPD.net,Sector-Specific Courses,Healthcare Finance,4,Course,Financial management in healthcare organizations,Healthcare Finance,Sector-Specific Courses,4.0,Standard Course,All Levels
AccountingCPD.net,Sector-Specific Courses,Manufacturing Cost Accounting,4,Course,Manufacturing costing systems and inventory management,Manufacturing Cost Accounting,Sector-Specific Courses,4.0,Standard Course,All Levels
AccountingCPD.net,Sector-Specific Courses,Not-for-Profit Accounting,4,Course,Charity and NGO financial reporting and management,Not-for-Profit Accounting,Sector-Specific Courses,4.0,Standard Course,All Levels
AccountingCPD.net,Sector-Specific Courses,Professional Services Finance,4,Course,Financial management for professional service firms,Professional Services Finance,Sector-Specific Courses,4.0,Standard Course,All Levels
AccountingCPD.net,Sector-Specific Courses,Public Sector Accounting,4,Course,Government and public sector financial management,Public Sector Accounting,Sector-Specific Courses,4.0,Standard Course,All Levels
AccountingCPD.net,Sector-Specific Courses,Real Estate Accounting,4,Course,Property investment and development accounting,Real Estate Accounting,Sector-Specific Courses,4.0,Standard Course,All Levels
AccountingCPD.net,Sector-Specific Courses,Retail and E-commerce Finance,4,Course,Retail sector financial management and analytics,Retail and E-commerce Finance,Sector-Specific Courses,4.0,Standard Course,All Levels
AccountingCPD.net,Taxation,2024-25 Update: UK Tax,4,Course,Comprehensive UK tax updates and changes,2024-25 Update: UK Tax,Taxation,4.0,Standard Course,All Levels - Update
